Country,ChannelName,Category,MainVideo Category,username,followers,Maintopic,Moretopics,Likes,BoostIndex,EngagementRate,EngagementRate60days,Views,ViewsAvg.,CommentsAvg,YoutubeLink,,,started,Income q1,Income q2,Income q3,Income q4
IN,T-Series,Gaming & Apps,Music,T-Series,220000000,Music of Asia,"Entertainment,Music of Asia,Music,Movies",1602680172,83,0.033463131,0.010879483,1.96E+11,2095329,4494,UCq-Fj5jknLsUf-MWSy4_brA,,,2006,441696.55,714420.59,822385.13,492428.39
US,ABCkidTV - Nursery Rhymes,Gaming & Apps,Education,ABCkidTV - Nursery Rhymes,138000000,Movies,"Entertainment,Music,Movies",220990134.6,63,0.641715698,0.116003684,1.33E+11,70271260,147,UCbCmjCuTUZos6Inko4u57UQ,,,2015,617387.98,747622.15,948557.67,510605.06
IN,SET India,Gaming & Apps,Shows,SET India,137000000,Movies,"Entertainment,TV shows,Music,Movies",174875242.6,79,0.00120627,0.002365693,1.22E+11,109573,76,UCpEhnqL0y41EpW2TvWAHD7Q,,,2006,491881.92,679295.46,8621.08,774687.67
US,PewDiePie,Gaming & Apps,Gaming,PewDiePie,111000000,Lifestyle,"Gaming,Action game,Lifestyle,Action-adventure game",2191405542,88,0.063426127,0.044846075,28424113942,7718345,35840,UC-lHJZR3Gqxm24_Vd_AJ5Yw,,,2006,146655.53,389799.23,687739.37,5611.85
US,MrBeast,Gaming & Apps,Entertainment,MrBeast,98100000,Lifestyle,"Entertainment,Lifestyle,Technology",1731833461,60,0.72920955,0.570270225,16242634269,98762497,113432,UCX6OQ3DkcsbYNE6H8uQQuVA,,,2013,374968.20,914153.73,776074.12,125315.82
US,Like Nastya,People & Blogs,People & Blogs,Like Nastya,97300000,Hobby,"Lifestyle,Hobby",280877652.4,79,1.026760674,0.23138806,80111555805,138163705,0,UCJplp5SjeGSdVdwsfb9Q7lQ,,,2010,812099.15,691642.53,55135.61,366137.91
US,✿ Kids Diana Show,Gaming & Apps,Entertainment,✿ Kids Diana Show,97200000,Lifestyle,"Lifestyle,Hobby",235190437.5,67,0.690341775,0.24385312,77340155581,86417353,0,UCk8GzjMOrta8yxDcKfylJYw,,,2012,324618.97,671551.39,437073.63,340872.64
US,WWE,Sports,Sports,WWE,89400000,Lifestyle,"Entertainment,Lifestyle,Professional wrestling,Sports,Performing arts",543800874.3,80,0.004329158,0.003562268,69794363750,392018,590,UCJ5v_MCY6GNUBTO8-D3XoAg,,,2015,818965.41,882170.88,95546.54,429617.21
IN,Zee Music Company,Music,Music,Zee Music Company,85500000,Pop music,"Music of Asia,Music,Pop music",210395355.3,76,0.029939415,0.021687586,48162039794,1106509,1771,UCFFbwnve3yF62-tVXkTyHqg,,,2016,992744.85,125079.73,228936.29,381006.07
US,Vlad and Niki,Entertainment,Entertainment,Vlad and Niki,83500000,Hobby,"Lifestyle,Hobby",146245435.4,82,0.976381214,0.121066269,65143080313,108949717,0,UCvlE5gTbOvjiolFlEm-c_Ow,,,2013,522775.52,929883.41,36925.53,625994.02
US,5-Minute Crafts,Gaming & Apps,Howto & Style,5-Minute Crafts,77000000,Lifestyle,"Lifestyle,Hobby",158230212.5,73,0.030060771,0.005156171,22655274758,2045771,726,UC295-Dw_tDNtZXFeAPAW6Aw,,,2007,415455.40,107090.72,396703.71,804493.76
KR,BLACKPINK,Gaming & Apps,People & Blogs,BLACKPINK,75100000,Music,"Entertainment,Music of Asia,Music,Pop music",617573972,69,0.547490564,0.065258318,24247825120,17409820,135847,UCOmHUn--16B90oW2L6FRR3A,,,2014,970496.61,748167.62,642212.00,720340.24
IN,Goldmines Telefilms,None,Film & Animation,Goldmines Telefilms,72000000,Movies,"Entertainment,Movies",63642295.56,69,0.022443868,0.006294404,17652030516,850610,495,UCyoXW-Dse7fURq30EWl_CUA,,,2018,978273.89,349403.78,653277.58,392883.42
CA,Justin Bieber,Gaming & Apps,Music,Justin Bieber,69400000,Music,"Music,Hip hop music,Pop music,Rhythm and blues",39350061.94,46,0.077374732,0.008874087,28347084231,6148177,7644,UCIwFjwMjI0y7PDBVEO9-bkQ,,,2016,708412.93,811929.92,55.81,663323.81
IN,SAB TV,Gaming & Apps,Entertainment,SAB TV,69300000,Entertainment,"Entertainment,TV shows,Movies",109283010.7,70,0.002536362,0.003490035,80431073293,160503,77,UC6-F5tO8uklgE9Zy8IvbdFw,,,2016,633759.15,875853.26,481120.91,32883.30
US,BANGTANTV,Music,Music,BANGTANTV,69100000,Pop music,"Entertainment,Music of Asia,Music,Pop music",1640737553,70,0.100502939,0.137005819,17072262758,6365307,36254,UCLkAepWjdylmXSltofFvsYQ,,,2013,687482.75,108798.11,580831.80,757940.04
KR,ibighit,Music,Music,ibighit,67300000,Music,"Entertainment,Music of Asia,Music,Pop music",636497162.1,72,0.146919052,0.098744402,23493409219,2975124,98952,UC3IZKseVpdzPSBaWxBxundA,,,2012,111701.68,609428.76,185883.58,839454.39
BR,Canal KondZilla,Music,Music,Canal KondZilla,65800000,Music,"Music,Hip hop music,Music of Latin America",116511691.1,81,0.04082935,0.006405934,36444038220,730263,1166,UCffDXn7ycAzwL2LDlbyWOTw,,,2007,474279.51,374346.25,449170.81,895559.09
IN,zeetv,Gaming & Apps,Entertainment,zeetv,62100000,TV shows,"TV shows,Movies,Entertainment",37475050.79,75,0.001587676,0.005464213,16034166113,24790,16,UCppHT7SZKKvar4Oc9J4oljQ,,,2012,575137.99,232457.54,470759.41,467519.92
